arsenic,dist,assoc,educ,switch
0.5,1.729,0,0,1
0.31,23.082,0,6,0
0.43,5.439,1,0,0
0.43,10.979,0,0,0
0.61,5.216,0,5,1
0.55,11.274,0,6,0
0.38,6.641,0,9,0
0.3,6.969,1,0,0
0.52,9.22,0,5,0
0.34,19.923,1,0,0
0.32,24.765,1,0,0
0.77,23.676,1,0,0
0.67,23.676,1,0,0
0.67,35.503,1,5,0
0.64,31.11,0,0,0
0.35,10.471,0,0,0
0.57,24.435,0,0,0
0.76,24.435,1,0,1
0.75,24.435,1,0,1
0.9,24.435,1,5,1
0.62,24.435,1,12,0
0.34,24.435,1,8,1
0.5,10.526,1,2,0
2.26,23.518,1,2,1
1.23,30.136,1,3,1
1.21,28.387,1,0,0
2.33,6.136,0,10,1
1.2,6.136,1,0,0
0.33,24.435,0,5,0
2.38,24.435,0,12,1
2.82,24.435,0,12,1
3.29,6.136,1,0,0
0.13,58.579,1,0,0
0.05,6.136,0,3,0
1.52,6.136,1,5,0
0.54,55.783,1,3,0
2.56,55.783,0,5,1
0.44,23.915,0,5,0
0.86,11.608,1,5,0
2.3,19.713,0,0,1
0.05,6.148,1,0,0
1.67,24.175,1,0,1
0.07,7.694,1,0,1
0.05,3.741,1,6,1
0.05,12.701,1,10,0
2.3,3.715,1,5,0
0.05,19.561,1,5,0
0.86,30.831,0,14,1
0.5,32.501,1,0,1
0.53,12.564,1,8,0
0.3,12.564,1,5,0
1.63,12.564,1,5,0
2.05,12.564,1,7,0
0.16,6.328,1,7,1
1.71,58.651,1,0,0
0.13,83.514,1,10,1
0.22,83.514,0,10,0
0.54,45.143,0,0,0
1.47,6.328,0,2,1
0.73,6.328,0,5,1
0.61,6.328,0,12,1
0.59,6.328,1,0,1
0.15,18.758,1,0,0
0.86,24.133,0,5,1
3.53,94.347,1,5,0
3.68,76.486,0,5,0
0.3,43.225,0,6,0
0.93,57.227,0,6,0
0.58,45.61,0,12,0
1.22,43.382,0,2,1
1.38,31.324,0,0,1
1.2,33.612,1,5,1
0.45,17.514,0,12,0
0.78,3.79,0,0,1
0.05,14.791,0,0,0
1.24,6.329,0,16,0
0.59,23.099,1,0,0
1.28,9.686,0,12,0
1.67,16.358,0,0,0
0.25,1.196,0,0,0
0.05,26.444,0,5,0
1.16,25.711,1,10,0
0.29,50.9,1,5,0
1.1,47.488,1,0,0
0.72,3.407,0,3,0
1.01,5.358,1,0,0
0.05,42.116,0,8,0
0.05,12.028,0,0,0
1.08,62.502,1,2,0
0.05,62.502,0,0,1
0.28,20.676,0,0,0
0.23,22.231,1,5,0
1.03,27.87,1,0,0
0.58,48.234,1,2,1
0.51,31.782,1,14,0
0.28,32.547,0,8,0
0.43,30.614,1,5,0
0.28,22.559,0,5,0
0.64,3.252,1,7,1
2.38,3.252,1,14,1
1.53,3.252,1,5,0
2.72,3.252,1,8,1
0.05,3.252,1,0,0
3.84,3.252,0,0,1
0.09,3.252,1,9,0
0.92,3.252,1,5,0
0.64,3.252,1,0,0
0.05,44.461,1,0,0
0.05,32.372,1,5,0
0.05,20.048,1,0,0
0.05,9.955,1,0,1
0.05,17.03,0,0,0
0.19,5.835,1,0,0
0.05,20.525,1,0,0
0.05,32.714,1,4,1
0.05,33.173,1,0,0
0.05,21.089,1,0,0
0.05,6.798,1,0,0
0.05,11.431,1,4,0
0.06,13.614,1,0,0
0.05,13.231,0,4,0
0.05,13.034,1,0,0
0.05,3.885,1,0,0
0.05,2.469,1,0,0
0.05,15.851,1,0,1
0.07,11.898,1,0,0
0.56,13.667,1,3,0
0.24,13.604,0,1,0
0.56,21.174,1,0,1
3.55,12.779,0,0,0
0.3,5.229,1,0,0
0.17,20.217,1,0,0
0.22,22.56,1,5,0
0.13,33.395,1,0,0
0.35,37.979,1,0,0
0.68,38.343,0,0,1
0.39,11.149,0,0,0
0.05,15.266,0,0,1
0.05,30.299,1,0,0
0.25,24.304,1,0,0
0.05,12.911,0,0,0
0.18,11.672,1,0,1
0.55,50.366,1,0,0
1.04,52.257,1,0,1
0.31,69.806,1,0,0
0.21,55.986,1,14,0
0.05,29.155,1,1,0
0.12,34,0,7,1
0.06,35.953,1,0,0
0.05,49.363,1,0,0
0.05,28.342,0,0,0
0.05,48.229,0,0,0
0.05,24.915,0,0,0
0.58,29.499,1,0,1
0.57,34.309,0,0,0
0.06,22.703,1,0,0
0.05,28.438,0,0,0
0.06,21.556,1,0,0
0.11,19.3,0,0,0
0.08,10.985,0,0,0
0.39,2.093,0,0,0
0.32,2.093,1,5,0
0.5,2.093,1,14,0
0.07,2.093,0,5,0
0.53,4.875,1,0,0
0.45,2.093,0,0,0
0.64,15.791,0,0,1
0.45,6.903,1,0,0
0.56,16.135,1,0,0
0.14,10.249,0,0,0
0.71,7.179,1,0,0
0.75,20.204,0,0,0
0.69,21.264,0,5,0
0.09,16.175,1,0,0
0.12,23.083,1,0,0
0.05,11.181,1,0,0
0.15,19.3,1,5,0
0.05,15.634,0,12,0
0.05,13.38,0,7,0
0.06,6.816,0,10,1
0.05,11.731,1,0,0
0.05,6.14,1,0,0
0.05,7.608,1,0,0
0.05,6.239,1,2,0
0.41,36.493,1,3,0
0.82,32.797,1,4,0
0.93,27.951,0,3,0
0.15,2.18,1,3,1
0.39,11.759,1,2,1
0.45,22.23,0,0,1
0.52,33.578,1,0,0
0.57,14.805,0,3,1
0.47,4.876,0,3,1
0.69,11.195,0,0,0
0.51,10.204,0,5,0
0.23,5.42,1,2,1
0.14,12.419,0,3,0
0.82,21.15,1,4,1
0.27,16.408,0,3,0
0.17,10.26,0,0,1
0.18,14.165,1,5,0
0.05,10.513,1,4,0
0.05,14.102,0,3,0
0.05,22.164,0,3,0
0.05,1.004,0,14,0
0.32,20.525,1,4,0
0.23,18.036,0,2,0
0.05,5.764,0,12,0
0.7,15.828,0,5,1
0.09,6.757,1,3,0
0.06,6.161,1,2,0
0.14,6.492,1,3,0
0.12,8.458,0,2,0
0.15,25.96,1,10,1
0.15,19.221,1,3,0
0.05,19.221,0,4,0
0.05,8.298,1,5,0
0.05,15.886,1,5,0
0.09,11.98,1,5,1
0.05,3.64,1,7,0
0.05,4.968,1,12,0
0.05,11.905,0,12,0
0.96,8.567,1,12,1
0.07,19.221,1,14,1
0.15,18.69,1,12,0
0.06,6.22,1,5,0
0.05,15.118,1,4,0
0.13,12.734,0,4,0
0.05,3.807,1,4,0
0.05,4.318,1,5,1
0.05,8.468,1,3,0
0.05,7.578,0,2,0
0.15,16.305,0,5,0
0.29,0.646,1,12,1
0.19,22.147,1,5,0
0.31,9.014,1,2,1
0.29,28.871,1,2,0
0.22,34.663,0,5,0
0.53,14.771,1,5,1
0.05,7.926,1,0,0
0.21,10.641,0,0,0
0.24,10.658,1,5,0
0.2,17.062,0,5,0
0.4,24.23,1,10,0
0.3,4.973,1,5,0
0.05,6.335,0,3,1
0.05,1.853,1,4,0
0.38,1.146,0,5,0
0.72,38.84,1,5,0
0.68,33.208,1,5,0
0.35,35.67,1,14,0
0.81,7.532,1,5,0
0.7,38.728,1,12,0
0.37,42.717,1,5,0
0.45,35.769,0,5,0
0.34,30.561,1,4,1
1.01,15.799,0,3,1
0.26,16.343,1,4,0
1.04,4.122,1,3,1
0.05,4.494,1,4,0
0.25,5.525,1,4,0
0.27,10.436,0,5,0
0.05,16.1,0,3,0
0.05,1.455,1,5,0
1.2,20.102,0,2,1
2.72,24.432,1,6,1
0.05,26.532,0,6,0
1.36,32.923,1,4,1
1.24,24.359,1,4,1
0.6,8.196,0,3,1
0.08,16.534,1,3,0
0.71,3.908,1,2,1
0.05,20.725,0,3,0
2.66,9.006,0,5,0
1.5,22.221,1,2,1
1.83,18.339,1,2,1
0.51,14.14,1,5,1
0.05,38.318,0,9,0
0.95,19.397,1,12,0
0.41,21.75,1,5,1
0.23,19.59,0,5,0
0.05,21.938,1,5,0
0.05,5.748,1,5,0
0.05,20.39,1,5,0
0.8,45.229,1,3,1
0.05,25.445,1,3,1
0.05,27.089,1,4,0
0.05,16.253,1,3,0
0.05,11.636,1,3,0
0.05,20.374,1,5,0
0.05,36.653,0,0,0
0.14,9.808,1,4,0
0.61,25.008,1,3,0
0.05,38.752,1,3,0
0.3,5.776,1,3,1
0.8,27.642,1,5,1
1.13,32.127,1,4,0
0.1,23.059,0,5,0
3.26,18.416,0,4,1
1.17,16.637,1,4,1
0.68,22.955,1,3,1
0.52,15.295,1,4,1
0.66,23.364,0,5,1
0.51,47.026,0,5,0
0.21,4.151,1,4,0
1.21,36.108,0,4,0
0.59,86.979,0,4,0
0.37,5.013,0,5,0
0.32,6.871,0,5,0
0.29,23.041,0,3,0
0.4,5.74,1,4,0
0.24,8.43,1,5,0
0.25,17.37,1,4,0
0.35,3.22,0,10,0
0.42,8.52,1,5,0
0.12,4.517,0,14,0
0.99,38.904,0,0,1
0.66,19.324,1,9,1
0.05,6.122,1,5,0
0.21,2.028,1,4,0
0.32,3.444,1,6,0
0.07,8.191,1,4,0
0.05,6.461,1,7,0
0.05,7.762,1,5,0
0.05,7.762,1,5,0
0.05,4.697,1,7,0
0.05,13.095,1,5,0
0.05,8.166,1,5,0
0.05,13.095,1,5,0
0.05,8.086,1,9,0
0.28,2.339,1,5,0
0.05,2.221,0,6,0
0.05,3.481,1,5,0
0.05,2.06,1,5,0
0.09,11.36,1,5,1
0.05,11.17,0,1,1
0.05,3.126,1,5,0
0.05,6.793,1,14,1
0.51,1.646,1,12,0
1.15,18.593,1,0,1
0.32,9.432,1,12,0
0.68,20.051,1,5,0
0.05,8.871,1,5,0
0.05,8.617,1,5,0
0.12,1.506,0,5,0
0.41,5.378,1,5,0
0.05,4.338,1,5,0
0.05,10.736,1,12,1
0.23,7.116,1,7,0
0.05,6.906,1,10,0
0.05,14.588,1,12,1
0.11,14.588,1,1,1
0.05,11.325,1,12,0
0.05,4.015,1,12,0
0.12,14.588,1,14,0
0.32,9.946,1,10,0
0.53,11.83,1,12,0
0.05,1.196,1,9,0
0.45,7.637,1,5,0
0.27,2.494,1,0,0
0.06,11.787,0,0,0
0.05,2.293,1,5,0
0.63,33.304,1,5,0
0.42,14.924,1,12,0
0.41,10.057,1,5,0
0.37,2.905,1,9,0
0.31,2.097,1,8,0
0.35,5.123,1,10,0
2.05,8.021,1,5,1
0.05,20.219,1,5,0
0.1,13.778,0,5,0
0.27,8.954,0,5,0
0.05,5.623,0,10,0
0.12,9.771,0,6,0
0.05,9.498,1,10,0
0.2,2.278,1,12,0
0.12,4.169,0,5,0
0.19,11.316,0,5,0
0.25,6.222,0,5,0
0.31,8.253,1,6,0
0.12,8.427,1,6,0
0.05,8.297,1,8,0
0.13,2.765,1,4,0
0.05,4.706,1,4,0
0.06,13.152,1,5,0
0.05,6.377,1,6,0
0.27,2.664,0,5,0
0.05,6.807,0,0,0
0.73,19.816,0,0,0
0.91,21.268,1,4,0
0.05,3.569,1,2,0
0.82,17.492,1,5,0
0.67,29.714,1,4,0
0.85,25.786,0,3,1
0.81,23.895,0,4,0
0.05,10.857,1,2,0
0.45,2.073,0,4,0
0.05,5.084,0,4,0
0.42,21.886,0,3,0
0.08,19.867,0,4,0
0.14,6.465,1,3,0
0.46,2.685,0,4,1
0.05,11.37,1,4,0
0.13,5.586,1,4,0
0.59,11.581,1,5,0
0.12,16.346,1,7,0
0.2,3.228,1,3,1
0.2,14.077,0,5,1
0.15,13.736,1,8,1
0.17,3.105,1,5,0
0.26,11.179,0,5,0
0.65,26.85,1,9,0
0.05,11.535,1,9,0
0.05,20.136,1,4,1
0.11,4.29,1,8,0
0.4,13.386,1,5,1
0.48,5.355,1,12,0
0.43,5.78,0,8,0
0.26,10.798,0,9,0
0.5,7.932,1,14,0
0.06,4.531,0,14,0
0.05,6.626,1,12,0
0.05,10.462,1,10,0
0.53,13.578,1,14,0
0.58,25.7,1,10,0
0.56,12.07,1,10,0
0.35,9.977,0,8,0
0.38,14.241,1,12,0
0.15,15.308,0,8,0
0.95,7.694,0,8,0
0.16,12.997,1,8,0
0.05,15.72,1,6,0
0.61,22.155,0,8,0
1.43,3.172,1,8,1
0.72,8.828,0,9,0
1.21,41.797,0,12,1
0.5,8.383,1,9,1
0.05,11.228,0,8,0
0.16,10.613,1,8,1
0.7,19.644,1,12,1
0.58,36.393,0,9,0
1.03,39.059,1,8,0
0.05,21.011,1,5,1
0.05,4.084,0,7,0
0.05,1.753,1,8,0
0.39,4.541,1,7,1
0.2,10.57,0,7,1
0.67,51.891,0,0,1
0.32,21.841,0,6,0
0.22,4.146,0,5,0
0.05,5.343,1,4,0
0.23,4.49,1,7,1
0.57,30.552,0,8,1
0.85,34.305,1,6,0
0.2,25.7,1,7,0
0.31,6.116,0,4,0
0.14,3.038,1,3,1
0.33,5.5,1,7,0
0.06,6.108,1,5,1
0.18,30.609,0,3,1
0.72,40.393,1,8,1
0.78,16.813,1,8,1
0.52,26.198,0,10,0
0.24,4.381,1,7,0
0.08,8.349,1,4,0
0.35,5.514,1,4,0
0.37,1.19,1,5,1
0.06,13.74,1,4,0
0.54,11.7,1,5,0
0.61,51.466,1,4,0
0.14,40.901,0,3,0
0.44,3.762,1,5,0
0.34,2.304,1,7,0
0.41,7.775,1,4,0
0.4,3.011,1,4,0
0.15,7.001,1,3,0
0.12,9.473,1,14,0
0.34,8.573,1,7,0
0.25,17.882,1,4,0
0.25,9.906,1,4,0
0.05,9.758,1,4,0
0.13,0.441,1,3,0
0.17,8.764,1,4,0
0.25,6.162,1,3,0
0.22,10.466,1,10,0
0.14,10.009,1,3,0
0.19,8.068,1,3,0
0.13,6.186,0,0,0
0.17,11.341,1,14,0
0.06,2.592,0,10,0
0.27,5.27,0,4,0
0.14,12.745,1,8,0
0.35,9.419,1,14,0
0.24,26.482,1,14,1
0.27,2.761,1,12,0
0.31,35.475,1,9,0
0.05,70.526,0,8,0
0.05,14.274,1,9,1
0.05,39.051,1,9,0
0.14,9.863,1,9,0
0.05,5.99,1,9,0
0.05,30.094,1,12,0
0.2,5.752,1,1,0
0.05,18.445,1,14,0
0.2,20.786,1,12,0
1.1,131.771,1,12,1
1.07,119.159,1,12,1
0.65,128.786,0,12,1
1.25,101.018,1,10,1
1.19,99.914,1,12,1
1.21,90.458,1,5,0
0.76,79.196,1,12,1
0.9,65.96,0,8,0
1.15,80.894,1,12,1
0.05,3.722,1,12,0
0.05,12.946,1,5,1
0.11,5.382,0,5,0
0.08,28.52,0,5,0
0.05,7.172,0,7,0
0.05,5.457,0,12,0
0.27,12.115,1,9,0
0.08,18.692,0,9,0
0.27,9.377,1,8,0
0.48,12.497,1,9,0
0.13,11.129,0,8,1
0.06,1.709,1,8,0
0.05,31.751,1,4,0
0.58,38.218,0,8,1
0.58,50.53,0,4,0
0.47,3.096,0,4,0
0.05,6.057,1,7,1
0.05,20.464,1,9,0
0.05,4.521,1,5,0
0.05,10.375,1,4,0
0.05,11.944,1,3,1
0.05,2.409,1,5,0
0.05,4.091,1,7,0
0.05,6.087,1,8,0
0.05,13.578,1,8,0
0.05,9.92,1,7,0
0.05,12.901,1,5,0
0.05,10.176,1,2,0
0.05,14.819,1,6,1
0.05,9.58,0,8,0
0.05,11.315,0,6,0
0.05,10.918,1,7,0
0.05,1.698,1,8,1
0.05,5.065,1,8,0
0.05,13.597,1,6,1
0.05,10.32,1,9,0
0.05,10.122,1,5,0
0.05,5.791,0,4,0
0.05,10.791,0,8,1
0.05,6.616,0,8,0
0.05,23.009,1,6,0
0.05,7.345,1,7,1
2.95,24.025,1,0,1
2.71,81.983,0,3,1
0.96,71.081,1,8,0
2.34,83.435,0,8,1
2.37,84.303,0,7,1
1.3,70.137,1,1,1
1.34,8.514,0,12,1
3.16,122.855,0,3,1
1.4,23.07,1,5,0
0.05,2.998,1,4,0
0.05,8.531,1,0,0
0.05,3.659,1,0,0
0.09,6.226,1,0,0
0.23,8.616,1,7,0
0.05,14.813,1,0,0
0.05,11.893,1,0,0
0.05,3.972,1,12,0
0.05,7.983,1,5,0
0.05,10.087,1,12,0
0.05,5.7,0,12,1
0.05,11.898,1,0,1
0.32,27.576,1,0,0
3.18,114.659,0,8,1
2.95,126.319,0,0,0
3.27,136.21,1,0,0
1.93,155.42,0,5,0
2.7,173.787,0,0,1
2.86,178.756,1,5,0
2.28,58.648,1,8,0
2.07,13.875,1,5,1
3.5,25.883,1,5,1
4.54,30.681,0,5,1
3.92,36.063,1,8,1
1.65,28.184,1,7,1
2.07,47.831,1,0,1
2.97,25.8,0,12,1
2.95,16.312,1,12,1
3.91,49.148,1,9,1
3.29,48.21,1,4,1
2.61,35.503,0,0,1
2.63,38.412,0,3,1
1.54,66.302,1,5,1
2.61,54.684,1,5,1
0.9,18.019,1,8,1
2.44,44.154,1,2,1
2.72,47.414,1,6,1
3.86,33.425,0,4,1
1.26,55.577,1,12,1
3.98,33.116,1,8,1
0.05,56.774,1,8,0
2.22,11.449,1,6,1
2.28,28.739,1,7,0
2.11,45.337,1,7,1
1.02,8.325,1,12,1
1.62,23.235,1,12,1
1.08,27.1,1,12,1
1.78,23.834,1,12,1
0.6,25.669,1,12,1
0.63,14.166,1,8,1
0.09,28.188,1,12,1
2.1,28.48,1,12,1
2.06,16.965,1,8,1
6.64,32.221,0,12,1
2.98,25.613,1,0,1
2.12,35.89,0,14,1
1.71,13.299,0,8,1
2.44,25.66,1,8,1
2.59,29.022,0,6,1
1.74,17.139,1,4,1
0.29,19.068,1,5,0
1.92,31.63,1,5,0
0.32,32.012,1,5,0
1.92,23.945,0,5,1
0.83,55.832,1,5,1
1.76,50.45,1,5,1
1.84,57.436,1,4,1
2.14,89.267,1,0,1
2.48,122.837,1,0,1
1.7,144.635,1,5,0
3.33,166.294,0,0,1
1.78,157.24,0,5,0
2.15,151.139,1,0,1
1.36,157.933,1,9,1
1.95,165.998,1,8,1
4.42,188.102,1,5,1
2.91,174.053,0,4,1
1.39,174.515,1,10,1
0.62,65.7,0,12,1
1.63,61.125,0,12,1
0.86,25.247,0,12,0
0.92,2.239,0,10,0
0.19,6.457,1,5,0
0.46,12.576,1,6,0
0.17,23.456,1,0,0
0.51,25.538,1,8,0
0.38,23.818,0,4,0
0.28,15.105,0,6,1
1.96,9.402,1,12,0
0.48,5.138,1,14,0
0.39,18.057,0,5,0
0.91,27.194,1,12,0
0.09,14.361,0,5,1
0.05,2.644,1,12,0
0.6,25.904,1,12,1
0.73,18.015,1,10,1
0.63,9.061,1,4,1
3.47,30.51,0,12,0
1.19,51.274,1,3,1
1.31,35.892,1,6,1
0.9,42.55,1,5,1
2.39,30.116,0,12,1
2.31,27.86,0,12,1
1.21,45.514,1,10,1
1.06,42.536,0,4,1
2.17,48.604,0,8,1
1.82,43.732,0,12,1
1.51,31.089,1,8,1
1.6,35.343,0,9,1
0.85,32.101,0,8,1
1.44,30.445,0,4,1
1.64,43.077,1,10,1
0.71,15.472,0,12,1
0.05,18.274,1,4,0
0.68,28.367,0,8,1
0.05,9.126,1,8,0
0.05,20.211,0,12,0
0.05,5.661,0,12,0
0.49,35.116,0,5,0
0.36,14.073,0,8,0
0.19,11.035,1,6,0
0.42,21.518,0,4,0
0.29,9.238,0,5,1
0.35,13.395,0,6,0
2.66,20.249,0,4,1
0.15,29.406,0,5,0
0.23,33.461,0,6,0
1.68,28.742,1,5,1
0.13,35.36,1,7,0
1.64,23.131,1,9,1
0.71,15.005,0,7,1
1.31,45.065,1,0,1
1.15,51.625,0,2,1
0.13,38.26,1,6,1
1.03,8.553,1,8,1
2.25,8.717,1,8,1
1.42,4.647,0,5,1
0.05,16.27,0,8,0
0.62,20.064,1,4,0
0.05,3.369,0,5,0
0.05,7.627,0,0,0
3.04,18.217,0,5,1
1.39,32.404,0,5,1
0.52,48.391,0,5,0
0.05,17.777,0,7,0
0.06,6.766,0,4,0
0.39,7.37,0,0,0
0.3,5.454,0,0,0
0.22,37.369,1,5,0
1.07,23.648,0,5,0
0.11,22.737,0,10,0
0.09,16.995,0,6,0
0.53,44.584,0,10,0
0.36,26.254,0,5,0
0.24,38.627,0,6,0
0.16,35.365,0,6,1
0.33,19.714,0,5,0
0.39,5.221,0,6,0
0.47,12.613,0,5,0
0.17,9.722,1,8,0
0.37,10.038,1,12,0
0.87,21.961,1,5,1
1.22,21.961,1,5,0
0.91,14.003,1,5,0
0.65,34.494,1,12,0
2.19,67.24,1,15,0
2.45,70.538,1,15,0
1.71,91.983,1,14,1
2.89,35.579,1,5,1
2.73,35.579,1,10,1
0.43,35.579,1,10,0
1.55,4.414,1,0,1
1.28,71.408,0,3,1
1.34,75.233,1,8,1
2.01,95.181,0,9,1
0.59,84.786,0,12,1
2.29,102.114,0,6,0
2.59,114.487,1,5,0
3.34,113.727,0,16,1
3.5,111.038,0,16,1
2.76,123.795,0,8,1
3.33,136.574,0,5,1
2.51,113.424,1,6,1
2.42,143.071,0,0,1
3.51,152.519,0,5,0
3.19,142.869,0,6,1
2.58,134.6,0,8,1
2.18,126.942,1,5,1
4.51,118.816,0,0,1
3.29,110.7,0,5,1
2.91,105.001,0,0,0
3.31,89.19,0,5,1
5.14,70.309,0,5,1
2.98,79.675,1,8,0
1.07,132.946,1,6,1
2.63,125.524,0,5,0
1.29,115.389,0,5,0
3.38,99.021,1,6,1
0.83,117.01,1,5,1
2.56,75.606,1,5,1
0.56,69.783,0,9,0
1.59,52.182,0,5,0
2.87,134.099,1,9,0
1.11,95.467,1,8,0
1.09,64.998,0,8,0
2.89,43.598,1,5,0
0.67,33.709,1,4,0
0.54,52.777,0,0,1
1.08,20.009,1,0,0
0.32,29.492,1,2,0
0.25,28.522,1,0,0
1.71,22.62,1,5,0
2.83,106.489,0,0,0
2.59,137.816,0,5,1
2.2,155.508,0,12,1
2.04,152.161,0,12,1
1.78,202.134,0,0,0
1.94,170.428,0,4,0
1.36,120.764,1,5,0
3.25,131.179,0,4,1
1.38,72.359,0,4,0
1.51,50.583,1,4,1
0.84,75.369,0,8,0
0.98,79.36,0,5,0
0.9,93.586,1,5,0
1.32,80.184,1,6,0
1.59,82.671,1,5,0
3.07,70.778,0,10,0
0.85,34.51,0,10,0
1.29,56.734,1,5,0
2.53,49.621,0,5,0
0.87,72.474,0,0,1
1.53,73.905,1,0,0
1.84,75.633,0,0,1
1.75,68.781,1,0,0
1.11,52.929,1,5,0
2.6,134.777,0,0,1
3.27,134.875,1,0,1
2.43,150.193,1,2,0
1.57,138.024,0,5,0
2.22,119.653,1,5,0
2.95,112.577,1,0,0
1.59,17.418,0,0,0
2.54,28.713,1,5,0
1.06,38.224,1,5,0
0.79,39.676,0,0,1
2.41,13.266,1,0,1
1.23,19.091,1,0,0
1.79,19.744,1,0,0
2.56,77.439,1,4,0
0.5,33.19,1,5,0
1.28,38.382,1,0,1
2.6,132.37,1,0,1
3.01,67.074,1,0,0
2.88,38.852,1,5,0
3.04,38.679,0,0,1
2.7,16.781,0,5,0
3.66,28.763,1,0,0
0.93,14.243,1,6,0
0.36,12.384,1,6,0
1.17,32.956,1,5,0
4.46,38.954,1,5,0
2.11,67.384,1,5,0
3.17,82.802,1,0,0
3.65,104.232,1,5,0
1.8,54.153,1,5,0
6.72,42.122,0,5,1
5.6,53.213,1,0,0
0.43,33.936,1,5,0
0.05,10.162,1,5,0
0.42,9.134,1,5,0
4.18,31.665,1,5,0
4.78,45.944,0,5,1
4.07,37.386,0,5,1
4.74,14.627,0,5,1
4.81,27.601,0,10,1
6.05,9.087,0,5,1
4.65,35.884,1,10,1
1.53,52.192,0,5,1
2.7,31.621,0,5,1
3.89,82.382,1,0,1
3.44,97.403,0,5,0
2.74,124.05,1,0,0
3.21,126.8,1,5,0
3.17,117.899,1,5,1
1.29,115.013,1,5,0
5.81,9.372,1,0,0
6.77,6.121,1,0,1
4.83,50.597,1,5,1
4.48,17.332,1,5,1
4.2,32.425,1,0,1
2.68,59.295,1,0,1
1.93,62.195,1,5,1
0.83,108.35,1,5,1
3.86,67.117,1,0,1
4.39,66.498,1,5,1
3.57,52.792,1,5,1
3.32,72.098,1,5,0
3.07,92.989,1,5,1
4.07,72.378,1,5,1
3.63,111.593,1,10,1
3.39,112.913,1,5,1
2.61,84.704,0,5,1
1.29,67.788,1,5,1
1.97,96.797,1,5,1
0.18,101.615,1,12,0
3.31,81.515,1,12,1
3.68,94.639,1,12,1
4.05,96.482,0,10,1
3.23,75.113,1,0,0
4.64,57.212,0,5,1
4.51,50.256,0,5,1
0.42,58.37,1,0,0
1.32,33.465,0,5,1
0.21,14.322,1,5,0
1.32,31.1,0,12,0
0.16,18.661,1,5,0
0.5,17.563,0,10,0
0.71,18.037,0,10,1
0.22,23.035,1,5,0
0.05,24.478,1,5,0
0.28,19.99,1,5,0
1.18,12.022,1,10,1
0.33,16.4,1,5,0
0.24,7.753,1,5,0
0.27,35.009,0,0,0
0.58,22.865,1,5,0
1.44,38.39,1,0,1
0.56,19.26,0,5,1
0.99,21.373,1,0,1
1.44,10.621,0,0,1
1.48,7.858,1,5,0
1.46,35.164,1,0,0
1.62,63.006,1,5,1
2.2,72.115,0,5,0
1.72,72.225,1,0,0
1.48,56.396,0,0,1
1.32,74.66,1,5,0
1,58.397,1,5,0
0.74,50.818,1,5,1
1.07,41.391,0,5,1
1.1,39.546,1,0,1
0.61,30.582,1,5,1
0.93,25.728,1,0,1
0.38,20.057,0,5,0
0.4,17.113,1,0,0
1.3,26.605,1,5,1
0.7,16.579,1,5,1
1.27,19.054,1,0,0
0.46,28.592,1,0,0
0.64,10.581,1,5,1
0.5,5.672,1,0,0
0.64,19.578,0,5,0
0.18,12.295,0,12,1
0.73,10.939,0,12,1
0.62,15.862,0,0,1
0.54,9.423,1,5,0
0.05,14.068,1,15,0
0.07,7.418,1,5,1
0.05,10.05,1,6,0
0.48,1.014,1,5,0
0.61,18.937,1,5,1
0.05,17.291,1,5,0
0.86,23.802,1,5,1
0.38,34.799,0,5,0
0.18,32.888,1,5,0
0.05,21.502,1,0,1
0.12,26.934,1,0,0
0.25,16.188,1,0,0
1.05,15.71,1,8,0
1.23,32.998,1,10,1
0.34,4.594,0,0,0
0.05,27.373,0,5,1
0.67,32.199,0,12,0
0.66,102.056,1,4,1
0.42,36.174,1,5,0
0.57,12.85,1,5,0
0.41,2.246,0,12,0
0.55,21.902,1,5,0
2.34,41.334,0,0,1
1.31,42.31,1,5,1
0.87,39.511,0,9,1
0.71,16.633,0,0,1
0.66,24.949,0,0,1
0.49,20.846,0,10,1
1.47,42.09,0,0,0
0.88,48.927,0,0,0
0.49,13.195,0,10,0
0.86,14.522,0,10,1
0.24,1.246,1,5,0
0.82,49.645,1,12,1
0.69,56.822,1,5,0
0.61,15.601,0,8,0
0.16,16.676,1,4,0
1.01,43.027,1,0,0
1.5,43.508,1,5,1
0.34,47.259,1,5,0
1.19,78.721,1,5,1
1.56,52.734,1,5,1
1.39,48.558,0,5,1
0.64,21.892,1,10,1
0.54,21.284,1,3,1
0.09,22.219,0,0,0
0.31,34.913,0,2,0
0.79,23.763,1,0,1
0.6,24.066,1,0,1
0.89,38.384,1,0,1
0.82,26.426,1,10,1
1.15,52.803,1,7,0
1.19,56.624,0,5,1
0.93,35.075,0,5,1
1.1,29.578,1,5,1
1.47,21.34,1,0,0
1.58,21.009,1,14,1
2.04,7.938,1,0,1
0.23,13.76,1,8,0
0.05,17.959,1,10,0
0.54,35.161,0,0,0
0.05,11.17,1,5,0
0.05,16.641,1,11,0
0.05,33.64,0,10,0
0.05,33.824,1,6,0
0.05,25.128,0,0,0
0.05,38.499,0,0,0
0.26,46.051,1,0,0
0.17,27.582,1,0,0
0.05,11.291,1,10,0
0.05,23.573,1,0,0
0.05,26.687,1,0,0
0.05,19.459,0,0,0
0.05,24.467,0,0,0
0.09,10.034,1,5,0
0.22,27.383,1,5,0
0.12,30.578,0,5,0
